Entity ID,Friendly Name,State,Domain,Unit,Device Class
group.gazebo_sensors,"Gazebo Weather Sensors","unknown",group,"",""
input_button.gazebo_pulse,"gazebo_pulse","2025-08-29T15:25:25.747162+00:00",input_button,"",""
input_number.gazebo_threshold,"gazebo_threshold","27.0",input_number,"",""
input_number.gazebo_hysteresis,"gazebo_hysteresis","3.0",input_number,"",""
input_number.gazebo_temp_adjust,"gazebo_temp_adjust","1.0",input_number,"",""
input_boolean.gazebo_halt,"Halt","off",input_boolean,"",""
input_boolean.gazeboheat,"GazeboHeat","off",input_boolean,"",""
input_datetime.gazebo_start_time,"gazebo_start_time","06:00:00",input_datetime,"",""
input_datetime.gazebo_end_time,"gazebo_end_time","19:00:00",input_datetime,"",""
sensor.gazebo_current_temperature,"Gazebo Current Temperature","16.9",sensor,"°C","temperature"
sensor.gazebo_current_apparent_temperature,"Gazebo Current Apparent Temperature","15.1",sensor,"°C","temperature"
sensor.gazebo_current_humidity,"Gazebo Current Humidity","80",sensor,"%","humidity"
sensor.gazebo_hour_0_feels_like,"Gazebo Hour 0 Feels Like","14.8",sensor,"°C","temperature"
sensor.gazebo_hour_1_feels_like,"Gazebo Hour 1 Feels Like","14.8",sensor,"°C","temperature"
sensor.gazebo_hour_2_feels_like,"Gazebo Hour 2 Feels Like","15.6",sensor,"°C","temperature"
sensor.gazebo_hour_3_feels_like,"Gazebo Hour 3 Feels Like","20.6",sensor,"°C","temperature"
sensor.gazebo_hour_4_feels_like,"Gazebo Hour 4 Feels Like","19.3",sensor,"°C","temperature"
sensor.gazebo_hour_5_feels_like,"Gazebo Hour 5 Feels Like","16.7",sensor,"°C","temperature"
sensor.gazebo_hour_6_feels_like,"Gazebo Hour 6 Feels Like","17.7",sensor,"°C","temperature"
sensor.gazebo_hour_0_temperature,"Gazebo Hour 0 Temperature","16.5",sensor,"°C","temperature"
sensor.gazebo_hour_1_temperature,"Gazebo Hour 1 Temperature","17.3",sensor,"°C","temperature"
sensor.gazebo_hour_2_temperature,"Gazebo Hour 2 Temperature","17.7",sensor,"°C","temperature"
sensor.gazebo_hour_3_temperature,"Gazebo Hour 3 Temperature","21.8",sensor,"°C","temperature"
sensor.gazebo_hour_4_temperature,"Gazebo Hour 4 Temperature","20.1",sensor,"°C","temperature"
sensor.gazebo_hour_5_temperature,"Gazebo Hour 5 Temperature","17.2",sensor,"°C","temperature"
sensor.gazebo_hour_6_temperature,"Gazebo Hour 6 Temperature","18.1",sensor,"°C","temperature"
sensor.gazebo_hour_0_precipitation,"Gazebo Hour 0 Precipitation","94",sensor,"%",""
sensor.gazebo_hour_1_precipitation,"Gazebo Hour 1 Precipitation","82",sensor,"%",""
sensor.gazebo_hour_2_precipitation,"Gazebo Hour 2 Precipitation","59",sensor,"%",""
sensor.gazebo_hour_3_precipitation,"Gazebo Hour 3 Precipitation","73",sensor,"%",""
sensor.gazebo_hour_4_precipitation,"Gazebo Hour 4 Precipitation","89",sensor,"%",""
sensor.gazebo_hour_5_precipitation,"Gazebo Hour 5 Precipitation","81",sensor,"%",""
sensor.gazebo_hour_6_precipitation,"Gazebo Hour 6 Precipitation","47",sensor,"%",""
sensor.gazebo_hour_0_humidity,"Gazebo Hour 0 Humidity","78",sensor,"%","humidity"
sensor.gazebo_hour_1_humidity,"Gazebo Hour 1 Humidity","80",sensor,"%","humidity"
sensor.gazebo_hour_2_humidity,"Gazebo Hour 2 Humidity","79",sensor,"%","humidity"
sensor.gazebo_hour_3_humidity,"Gazebo Hour 3 Humidity","77",sensor,"%","humidity"
sensor.gazebo_hour_4_humidity,"Gazebo Hour 4 Humidity","81",sensor,"%","humidity"
sensor.gazebo_hour_5_humidity,"Gazebo Hour 5 Humidity","86",sensor,"%","humidity"
sensor.gazebo_hour_6_humidity,"Gazebo Hour 6 Humidity","79",sensor,"%","humidity"
sensor.gazebo_hour_0_weather_code,"Gazebo Hour 0 Weather Code","3",sensor,"",""
sensor.gazebo_hour_1_weather_code,"Gazebo Hour 1 Weather Code","63",sensor,"",""
sensor.gazebo_hour_2_weather_code,"Gazebo Hour 2 Weather Code","53",sensor,"",""
sensor.gazebo_hour_3_weather_code,"Gazebo Hour 3 Weather Code","3",sensor,"",""
sensor.gazebo_hour_4_weather_code,"Gazebo Hour 4 Weather Code","53",sensor,"",""
sensor.gazebo_hour_5_weather_code,"Gazebo Hour 5 Weather Code","63",sensor,"",""
sensor.gazebo_hour_6_weather_code,"Gazebo Hour 6 Weather Code","53",sensor,"",""
sensor.gazebo_day_0_weather_code,"Gazebo Day 0 Weather Code","65",sensor,"",""
sensor.gazebo_day_0_temperature_max,"Gazebo Day 0 Temperature Max","20.7",sensor,"°C","temperature"
sensor.gazebo_day_0_temperature_min,"Gazebo Day 0 Temperature Min","14.5",sensor,"°C","temperature"
sensor.gazebo_day_0_precipitation_probability,"Gazebo Day 0 Precipitation Probability","100",sensor,"%",""
sensor.gazebo_day_1_weather_code,"Gazebo Day 1 Weather Code","63",sensor,"",""
sensor.gazebo_day_1_temperature_max,"Gazebo Day 1 Temperature Max","18.6",sensor,"°C","temperature"
sensor.gazebo_day_1_temperature_min,"Gazebo Day 1 Temperature Min","13.8",sensor,"°C","temperature"
sensor.gazebo_day_1_precipitation_probability,"Gazebo Day 1 Precipitation Probability","84",sensor,"%",""
sensor.gazebo_day_2_weather_code,"Gazebo Day 2 Weather Code","55",sensor,"",""
sensor.gazebo_day_2_temperature_max,"Gazebo Day 2 Temperature Max","14.0",sensor,"°C","temperature"
sensor.gazebo_day_2_temperature_min,"Gazebo Day 2 Temperature Min","10.1",sensor,"°C","temperature"
sensor.gazebo_day_2_precipitation_probability,"Gazebo Day 2 Precipitation Probability","87",sensor,"%",""
sensor.gazebo_day_3_weather_code,"Gazebo Day 3 Weather Code","80",sensor,"",""
sensor.gazebo_day_3_temperature_max,"Gazebo Day 3 Temperature Max","20.4",sensor,"°C","temperature"
sensor.gazebo_day_3_temperature_min,"Gazebo Day 3 Temperature Min","9.9",sensor,"°C","temperature"
sensor.gazebo_day_3_precipitation_probability,"Gazebo Day 3 Precipitation Probability","59",sensor,"%",""
sensor.gazebo_day_4_weather_code,"Gazebo Day 4 Weather Code","80",sensor,"",""
sensor.gazebo_day_4_temperature_max,"Gazebo Day 4 Temperature Max","22.9",sensor,"°C","temperature"
sensor.gazebo_day_4_temperature_min,"Gazebo Day 4 Temperature Min","9.7",sensor,"°C","temperature"
sensor.gazebo_day_4_precipitation_probability,"Gazebo Day 4 Precipitation Probability","44",sensor,"%",""
sensor.gazebo_day_5_weather_code,"Gazebo Day 5 Weather Code","1",sensor,"",""
sensor.gazebo_day_5_temperature_max,"Gazebo Day 5 Temperature Max","24.1",sensor,"°C","temperature"
sensor.gazebo_day_5_temperature_min,"Gazebo Day 5 Temperature Min","9.7",sensor,"°C","temperature"
sensor.gazebo_day_5_precipitation_probability,"Gazebo Day 5 Precipitation Probability","46",sensor,"%",""
sensor.gazebo_day_6_weather_code,"Gazebo Day 6 Weather Code","3",sensor,"",""
sensor.gazebo_day_6_temperature_max,"Gazebo Day 6 Temperature Max","26.2",sensor,"°C","temperature"
sensor.gazebo_day_6_temperature_min,"Gazebo Day 6 Temperature Min","11.8",sensor,"°C","temperature"
sensor.gazebo_day_6_precipitation_probability,"Gazebo Day 6 Precipitation Probability","34",sensor,"%",""
climate.gazebo_thermostat_desired_temperature,"GazeboTemp","off",climate,"",""
binary_sensor.gazebo_gazebo_stove_heating_control_sensor_malfunction,"Stove Sensor Malfunction","off",binary_sensor,"","problem"
number.gazebo_gazebo_stove_heating_control_manual_run_duration,"Stove Manual Run Duration","1.0",number,"min",""
number.gazebo_gazebo_stove_heating_control_temperature_offset,"Stove Temperature Offset","-6.0",number,"°C",""
number.gazebo_gazebo_stove_heating_control_pid_kp,"Stove PID Kp","5.0",number,"",""
number.gazebo_gazebo_stove_heating_control_pid_ki,"Stove PID Ki","0.003",number,"",""
number.gazebo_gazebo_stove_heating_control_pid_kd,"Stove PID Kd","100.0",number,"",""
number.gazebo_gazebo_stove_heating_control_pid_deadband_high,"Stove PID Deadband High","1.0",number,"°C",""
number.gazebo_gazebo_stove_heating_control_pid_deadband_low,"Stove PID Deadband Low","-1.0",number,"°C",""
number.gazebo_gazebo_stove_heating_control_heater_pwm_period,"Stove Heater PWM Period","120.0",number,"s",""
sensor.gazebo_thermostat_gazebo_temperature,"Stove Gazebo Temperature","21.5375003814697",sensor,"°C","temperature"
sensor.gazebo_gazebo_stove_heating_control_wifi_signal_strength,"Stove WiFi Signal Strength","-35.0",sensor,"dBm","signal_strength"
sensor.gazebo_gazebo_stove_heating_control_wifi_ssid,"Stove WiFi SSID","NH2",sensor,"",""
sensor.gazebo_gazebo_stove_heating_control_wifi_bssid,"Stove WiFi BSSID","6C:4C:BC:E6:F8:8A",sensor,"",""
sensor.gazebo_gazebo_stove_heating_control_mac_address,"Stove MAC Address","94:3C:C6:05:17:6C",sensor,"",""
sensor.gazebo_gazebo_stove_heating_control_device_ip_address,"Stove Device IP Address","192.168.0.242",sensor,"",""
sensor.gazebo_gazebo_stove_heating_control_system_status,"Stove System Status","OK - Nextion Connected",sensor,"",""
sensor.gazebo_gazebo_stove_heating_control_heating_status,"Stove Heating Status","Idle",sensor,"",""
button.gazebo_gazebo_stove_heating_control_device_restart,"Stove Device Restart","unknown",button,"","restart"
button.gazebo_gazebo_stove_heating_control_safe_shutdown,"Stove Safe Shutdown","unknown",button,"",""
button.gazebo_gazebo_stove_heating_control_pid_autotune,"Stove PID Autotune","unknown",button,"",""
climate.stove,"Stove Gazebo Stove","heat",climate,"",""
select.gazebo_gazebo_stove_heating_control_presence_mode,"Stove Presence Mode","home",select,"",""
time.gazebo_gazebo_stove_heating_control_home_time_24h,"Stove Home Time (24h)","06:00:00",time,"",""
time.gazebo_gazebo_stove_heating_control_away_time_24h,"Stove Away Time (24h)","22:00:00",time,"",""
light.gazebo_gazebo_stove_heating_control_status_led,"Stove Status LED","off",light,"",""
switch.gazebo_gazebo_stove_heating_control_stove_relay,"Stove Stove Relay","off",switch,"",""
switch.gazebo_thermostat_manual_run,"Stove Manual Run","off",switch,"",""
switch.gazebo_thermostat_manual_stop,"Stove Manual Stop","off",switch,"",""
switch.gazebo_gazebo_stove_heating_control_schedule_enabled,"Stove Schedule Enabled","on",switch,"",""
automation.turn_on_gazebo_stove,"Turn On Gazebo Stove","on",automation,"",""
automation.turn_off_stove,"Turn Off Gazebo Stove","on",automation,"",""
automation.gazebo_pulse_15min_timer,"Gazebo Pulse 15min Timer","on",automation,"",""
binary_sensor.gazebo_power,"Gazebo Power","off",binary_sensor,"","power"
sensor.gazebo_voltage,"Gazebo Voltage","2.73",sensor,"V","voltage"
sensor.gazebo_battery,"Gazebo Battery","75",sensor,"%","battery"
sensor.gazebo_temperature,"Gazebo Temperature","21.87",sensor,"°C","temperature"
sensor.gazebo_humidity,"Gazebo Humidity","53.82",sensor,"%","humidity"
